label,bridge,rpc,actionId,msigTxId
r1-pin-B1,0x9E3bdc4Fe5D053f7bacc65A20B88007ed79E43F4,http://127.0.0.1:8661,0,1
r1-remotebridge-A1,0x6bf16A5F85c6f89964b71e8238507fbCA4867B69,http://127.0.0.1:8660,0,1
r1-remotebridge-B1,0x9E3bdc4Fe5D053f7bacc65A20B88007ed79E43F4,http://127.0.0.1:8661,1,2
r1-registerCanonical-A1,0x6bf16A5F85c6f89964b71e8238507fbCA4867B69,http://127.0.0.1:8660,1,2
r1-registerWrapped-B1,0x9E3bdc4Fe5D053f7bacc65A20B88007ed79E43F4,http://127.0.0.1:8661,2,3
r2-pin-B2,0x6bf16A5F85c6f89964b71e8238507fbCA4867B69,http://127.0.0.1:8662,0,1
r2-remotebridge-A2,0x0Cee0a57A6D9Aa28efB34B0b6399a8Ff65c37170,http://127.0.0.1:8660,0,9
r2-remotebridge-B2,0x6bf16A5F85c6f89964b71e8238507fbCA4867B69,http://127.0.0.1:8662,1,2
r2-registerCanonical-A2,0x0Cee0a57A6D9Aa28efB34B0b6399a8Ff65c37170,http://127.0.0.1:8660,1,10
r2-registerWrapped-B2,0x6bf16A5F85c6f89964b71e8238507fbCA4867B69,http://127.0.0.1:8662,2,3
strand-registerCanonical-B2,0x6bf16A5F85c6f89964b71e8238507fbCA4867B69,http://127.0.0.1:8662,3,7
strand-registerWrapped-A2,0x0Cee0a57A6D9Aa28efB34B0b6399a8Ff65c37170,http://127.0.0.1:8660,2,13
strand-pin-A2,0x0Cee0a57A6D9Aa28efB34B0b6399a8Ff65c37170,http://127.0.0.1:8660,3,15
strand-registerWrapped-A2-v2,0x0Cee0a57A6D9Aa28efB34B0b6399a8Ff65c37170,http://127.0.0.1:8660,4,17
strand-allowShortDelivery-B2,0x6bf16A5F85c6f89964b71e8238507fbCA4867B69,http://127.0.0.1:8662,4,9
strand-allowSD-B2-rearm,0x6bf16A5F85c6f89964b71e8238507fbCA4867B69,http://127.0.0.1:8662,5,12
