step,gasUsed,txHash
r1-pin-B1:msig-submit,222151,0xf9e867ba3369bc7dad81a8ee6e6acd83644d8e222e14e0c78feb808c9e73974a
r1-pin-B1:msig-confirm,57582,0xedd496ddd365272fcc02e564fe8cf47df57062fd96c9989311601f5369a6b12a
r1-pin-B1:msig-execute(queue),194109,0x54d9e7c9b888466000754746fbf268b6bae8189289696abe52970c73671fdfb0
r1-remotebridge-A1:msig-submit,244600,0x91fda419dd641a6b2074f5cf8b837092d2796dc08bd2073f92f50ce76e85facb
r1-remotebridge-A1:msig-confirm,57582,0xf34688c611acd3693d67b63e1c827e3550b3f290ed0625eb06735e970ee8a519
r1-remotebridge-A1:msig-execute(queue),218777,0x24669f9b1c71a80a33d16ff0f910d6188291f03a79a6c8529fe9ca6ca5e8fd2b
r1-remotebridge-B1:msig-submit,244612,0xc048abec7b78a771e849ba5681be59d7c38e57dbc076b7d4ff57cb38b8266c59
r1-remotebridge-B1:msig-confirm,57582,0x38d8a7e25e7aae1e5dc78048f44f91009ca80ecc5f0166da507bb899b04e5aff
r1-remotebridge-B1:msig-execute(queue),201677,0x3b86794bf049a6db7e8c1ac9e79a7b186f6e2a0b78dc6a47256c977d3186334b
r1-registerCanonical-A1:msig-submit,292636,0xfc9e84412a92c38c7b8a892da949f4fa71c68a3b6b54ae975d5d7083c044efdf
r1-registerCanonical-A1:msig-confirm,57582,0x14084d92d9726afb5b0b46a7b6690298c7d5f4cd0de1f999f527614f0c5083e8
r1-registerCanonical-A1:msig-execute(queue),255266,0xd4d29bab009b86b55c66c09fd110f945bc07ccf9986000183857c4408f0eea39
r1-registerWrapped-B1:msig-submit,312536,0x13e93f3eabcee7e39cc683c4e3550df50195da5bb0a5b421efe917685cb2d3ba
r1-registerWrapped-B1:msig-confirm,57582,0x53d5f0d48808626c6e08576240ed3a276efdd43d89533111ebc368e153f223cd
r1-registerWrapped-B1:msig-execute(queue),275198,0x146b3915adca82594e354f3eeb1f512613a561eb938d8c5574dec3b8a4c52d7b
r1-exec-pin-B1:msig-submit,153951,0x680075d3c7310c9b35c9d07aab644ac11c354a8e4fe6d492248b6c0ce262ee04
r1-exec-pin-B1:msig-confirm,57582,0x047d56e628457d8a14808471a4c64624a760ffdc6641d47b8fd5903d0e9a639a
r1-exec-pin-B1:msig-execute(executeAction),110527,0xb7c23f37c4552b26661a68cfed141c9d06fd5e628818fc63cd64143f555b4bc7
r1-exec-remotebridge-B1:msig-submit,173863,0xe051b76ae1d74ab8dc0e3a9cc842d2c724d6f293cb2535c09aeac15aa15ab6f1
r1-exec-remotebridge-B1:msig-confirm,57582,0x1e20c5b048c924ca140dee17f210791d19605ba78219c922340094ca1caf2c48
r1-exec-remotebridge-B1:msig-execute(executeAction),114367,0x08973a7a0a52f1c76e97b57e4e02c683068984a6172a11be1464be7177eb680e
r1-exec-registerCanonical-A1:msig-submit,173875,0x7b93b2d5dc4718ade8bb713460ba9630aefe76e963db1a0c2e4c1aeadba1ab68
r1-exec-registerCanonical-A1:msig-confirm,57582,0xf5bb44d9dc3c606238ce15bb7114d6a5107fb04a27d37f2899cfbae1334c17b7
r1-exec-registerCanonical-A1:msig-execute(executeAction),215995,0x867ed8d0dfa68c628497ebe6df21ffd62f05e77db78656f6ad5a083fb23da8b7
r1-exec-registerWrapped-B1:msig-submit,173863,0x11912de3b1e5cd713553fc7cb4c55e90a00ad943aead4ad445db4764a028ddb6
r1-exec-registerWrapped-B1:msig-confirm,57582,0xd4b532a41443a59e0bee6889757bd5c8294c734a8e0b6b9181113d51d159fae6
r1-exec-registerWrapped-B1:msig-execute(executeAction),244953,0xe7d4b6ebe2b7ef4c3d4e61924d8a72f28653ef76c6120cacaf20c24704c9b6cf
r1-send-5FMX-A1,114617,0x4abb23d56db03e6127e296311eb7ce39738bb77a36785dfbb1b9315ba8ea3043
r1-execute-mint-B1(submitter),163889,0x8180ee3c566a01dc51dd8a6e82a29a00b2348fedb3858393bc27048f3a09e0df
r1-send-back-B1(burn),135598,0x100e26d00f991dbdd08f646566a220cfff92db312855748714c1c9e3d5196b35
pause-B1(pauser),30414,0xcd86337f870c5fbe1b2fcbcf437af989477330755f29f62d6711b0360c809cee
unpause-B1:msig-submit,129073,0x941fb167ff4aea593ceedcf4bbbf425560f557a3251a56313f7691a981fde5c3
unpause-B1:msig-confirm,57582,0x0aa53c0bfe2407505d50d1a5d19bbad3f3ef5b75698834b18f3c839f02bf6f17
unpause-B1:msig-execute,70404,0x28c9f05c605b2e8ab1595c06128fc66e9b64ecc9bb197b9c9c43ded79e82aed2
pause-A1(pauser),30414,0x1f1aca5f41501dc20d3e06a372e77b679cd6dbf9633b690a39f8dfa9fe3e2e5f
unpause-A1:msig-submit,129085,0x8e768f5bd1d885b692f7546e61dc2e47f63d66dba0f047f33e3acc5bd149cd42
unpause-A1:msig-confirm,57582,0x782ad016cd7852aa14bf90d4cf25866f184d398a59b66a2e0732242efe36a95f
unpause-A1:msig-execute,70404,0x765b630e0f6d23ce2fda3a22394e59d206e097bbfe5393d97ce76038e9842237
capraise-A1:msig-submit,267133,0x52844595e53e3cb6672ccb79ea639ade61ca26b4f9323e311eb49bd4da5ed946
capraise-A1:msig-confirm,57582,0x179b258397689265e97cf3ab7d4adb591dfc32a53c14a910fd371114c85f0d57
capraise-A1:msig-execute(queue),225975,0xc70e128f1a2ea8aa758308f2d738a8b270995992b614e31d252ed42cf88225df
capraise-B1:msig-submit,267361,0x90577f86221078ee16dce4e808632357da45cb3845ee4cda5a729c5bb4b6dab6
capraise-B1:msig-confirm,57582,0x6347d86d1f2c6984a0f5ab836b204da017b8c35d11be0e7b39952ddf165e54c1
capraise-B1:msig-execute(queue),225975,0xea8009a6d412ec16d78b7413290783caa89afbc97df2db5f32992f2dc3d00d99
capraise-exec-A1:msig-submit,173875,0x071a1591fca68e7a77dfc988e6f53c1b844a79cb846042063b25f4779510a2aa
capraise-exec-A1:msig-confirm,57582,0x79773ab94eebdd9581774c6a8eafebfa8a0ec0789995d1374d404ee3a5f41b58
capraise-exec-A1:msig-execute(executeAction),106139,0x835279e019c36ef6c0ef0e26dc7ede96b1ba23c58619c7740be1e98648db5eb2
capraise-exec-B1:msig-submit,173863,0xb47e6664ff0dfac7d09f30eadeefd233f451a3c80f57a51cbac4164e23442e43
capraise-exec-B1:msig-confirm,57582,0x3cc55f834372978f43d1305f6d994aed885760a68ba661c906050296ab471201
capraise-exec-B1:msig-execute(executeAction),106139,0x89529a83888d520283c4f8c55c0e755ad6a2f3badc26bc2b8be2df7529f234a7
capdecrease-A1:msig-execute,87754,0x8e8d8946e8eab3649d70931c77b38dd024619009b9e4ddc185cdd40ba5bdbb87
r2-pin-B2:msig-submit,222163,0x55f96dc7221d74e96bf912bd2165ac7d5fdb8f31bbcd6d93d270b6db78aef502
r2-pin-B2:msig-confirm,57582,0x491b863c0c5ded5d877874b0bdea5fe1845c55fdf0c5d116eb355d0254f525ed
